,Date,Lift,RM,Weight,Body Weight
0,8/6/2018,bench,5,235,187
1,8/7/2018,deadlift,2,450,187
2,8/4/2018,bench,8,225,185
3,8/4/2018,squat,5,390,185
4,8/4/2018,deadlift,6,435,185
5,8/4/2018,ohp,3,160,185
6,8/9/2018,ohp,6,150,186
7,8/15/2018,squat,6,365,186.5
8,8/20/2018,squat,3,405,185
9,8/21/2018,bench,4,235,185
,8/22/2018,ohp,4,155,185
,8/24/2018,squat,5,385,185
,8/25/2018,row,6,245,185
,8/26/2018,bench,7,205,185
,8/27/2018,ohp,5,155,185.5
,8/31/2018,row,8,235,183
,8/31/2018,squat,1,425,183
,8/31/2018,squat,9,355,183
